megan scores a goal	| Megan is playing soccer in the park. Megan is running across the field. Megan runs over the goal. The ball is shot at Megan. Megan scores a goal for her team.
new park	| The Smiths had always wanted to build a new park. They had to decide where to build their new park. They looked at many sites. They chose a large park. They got all the funds and began construction.
snow day	| I woke up this morning to a snowstorm. I spent my morning driving down the highway. After driving a few hours , I saw a big white snowflake. I didn't get to drive home until the next morning. I was a little excited because it was the first snow day of the year.
george sanborn library	| My friend George's library is a lot of fun. The last time I visited it , there was an exhibit on the internment camps. The exhibit was very entertaining. George was very happy. He even gave me $ 100 for my efforts.
bugs in the leaves	| Tom was picking his leaves. When he was picking he noticed some bugs. He picked them off. Tom put them in a jar. Tom returned the jar and the bugs to the leaves.
bike riding	| Tom was riding his bike. He had a long , steep hill. Tom tried to slow down. He fell off. Tom tried to ride it again.
hot	| The temperature dropped. The whole building was hot. A fire alarm went off. Everyone was evacuated. The whole building was evacuated. <|endoftext|>>
fresh baked bread	| The family went on a road trip. They were stopping at a diner. They ordered a large breakfast. They loved the bread. They decided to buy more bread to make a larger meal. <|endoftext|>>
shaving accident	| am was shaving. He put his hand in his pocket. His hand slipped out. He cut his hand really deep. Sam had to go to the emergency room.
scary mask	| Dan wanted to get into his Halloween costume. He went to the store and bought a scary mask. When he got home he put it on his head. Dan went for a walk and saw his face in the mirror. Dan was scared , but he decided to wear his mask to school.
bad sight	| I was sitting in my car. Suddenly , I could see something moving. I turned the car on. The car suddenly stopped. I looked back at the mirror to see that my foot was bleeding. <|endoftext|>>
pale skin	| am went to the beach. He sat on the sand. He got sunburned. Sam went to the doctor. The doctor said he needed to stop going to the beach. <|endoftext|>>
taking a taxi	| I was waiting for a taxi. The driver was rude. I had to take a cab as well. I was rude too. The driver got tired.
great deal	| Tom was at a sale. He was trying to purchase a new car. He took a picture of the car he wanted. He sent it off to the dealership. He was able to purchase the car.
coby 's collection	| Cocoby was a collector of old cars. He lived in a retirement home. He had a lot of old cars. Cocoby's wife died and he had to sell all his old cars. Cocoby got a divorce and moved to his house.
the proposal	| I was out with my boyfriend. We were going out on a date. We were going to walk down the aisle. Suddenly , I heard my boyfriend asking me to marry him. I was so excited , and I said yes !
priorities	| Kate's teacher called her into the auditorium. He told her that she had been absent for the week. Kate looked at her schedule. The schedule showed that she had been in the city the week before. Kate was sad and told him that she didn't want to go.
date	| I went out on a date with a girl I met online. We went out to eat. We went to the movies. The girl was in a lot of pain. We decided to break up.
found dog	| Amy saw a dog she liked. The dog was missing. Amy went to her parents. She explained her situation. Amy's parents took her to the animal shelter. <|endoftext|>>
lost mail	| Tom's mailbox was full. He needed to mail a package. He found mail everywhere in his house. Tom had to search every room. He was unable to find his mail.
strep throat	| Joe was at the grocery store. He bought a bag of chips. He looked at his bag and saw that it was full of staph. When he reached for it it , he dropped it. He cleaned up the chips with a cloth.
set a wedding date	| My sister-in-law's daughter is getting married in a few weeks. She is not a very bright girl. She wanted a wedding to be private. She told her mother. Her mother said she could have a wedding if she wanted to.
bad walk	| Tom was walking through the park. He tripped on a rock. The rock split his ankle. Tom was very sad. He decided to not walk in the park anymore.
walnut pies	| Jenny wanted to bake a pie. She had never used a ricer before. She baked the crust. She added the filling. Then she let it cool in the oven.
no snack	| Tom was hungry. He didn't know what to get for dinner. He was having trouble deciding. Eventually he got a bag of chips. He loved it.
antidepressants	| My daughter's high school friend had multiple Axis I disorders. She had tried many antidepressants. She has tried various antacids and antihistamines. When she started taking them she felt better and more motivated. She started working more toward her goals.
the inherited painting	| uzy's dad always told her to be careful with inherited paintings. Suzy always made sure to be careful. One day , she found a painting in her father's closet. Her dad said he had inherited it. Suzy was angry because she never told him she stole it.
bread delivery	| Dan was a delivery driver. One day he saw a homeless man. The man was hungry. Dan delivered the man food. Dan felt good about doing what was right for the homeless man.
dean 's deer	| Dean was driving down the road one night. He saw a deer in the road. He pulled over to talk to it. Afterwards he drove off. He never saw the deer again.
the tutor	| Amy had been out of school for weeks. She was worried she would not get a job. Her new tutor was nice and helpful. She felt comfortable working with her. Amy was glad she had found a tutor.
hard work pays off	| Bob worked very hard in his job. He saved his money and was able to pay his rent. Bob's family was very happy. Bob was proud of himself. Bob's family thanked him for everything.
grapes	| I decided to grow grapes. I bought the equipment to do so. I planted the seeds. The seeds sprouted fruit. I harvested the fruit and was happy with my harvest.
lipstick allergy	| Tina bought a lipstick. Unfortunately it was made of glitter. She put it on her lips. The glitter made her get a rash. Tina was allergic to glitter.
wedding money	| I didn't have a lot of money. I decided to go to a wedding. I bought a fancy dress. I also bought a ring. My wedding was a success. <|endoftext|>>
my eyeshadow was eaten	| I was at work and I was trying to do work. I was using the computer. Suddenly , I dropped my eyeshadow. I had to put it back at the machine. Now my eyeshadow was all over the place.
before it gets cold	| I was going to go skiing. I was sitting in my chair. I heard the temperature drop. It started to get cold. I had to put on a jacket.
cheating to win	| Tim had a friend that was cheating on him. The two of them loved to play video games together. Tim's girlfriend told him she had a boyfriend and her sister. Tim thought to himself , why would she lie. Tim was shocked when he discovered his girlfriend had cheated.
the parking spot	| Ben was a little boy. One day he got into a car accident. He hit the car in front of him and it hit a car. Ben was hurt but he was ok. His parents promised to pay for his car.
bread	| I was in a bakery. They had a bakery section. There was a lot of bread. It was expensive. So I just stopped at them.
the soccer goal	| The entire neighborhood gathered around the soccer goal. The goal was their goal , and they all cheered. The coach explained the rules of the game. The kids all started to play the game. The soccer team won the game !
advil	| I was feeling down. And I decided to take some Advil. I took it for a few days. And it felt better. I was glad I took Advil. <|endoftext|>>
pinball wizard	| In 1981 , my brother in law played pinball. He was a pro at the game. We watched him play for hours every day. Today he is an attorney. He is very happy that he is still playing pinball.
facetious	| The man tried to make a point. He argued with the object. It was argued over. The argument got out of hand. The object left the room.
new dress	| Tina was going to be graduating high school. She wanted to be the best. Every day she practiced wearing her new dress. She was happy when she got her diploma. She knew she was a great student.
mountain lion	| Tom was hiking up a mountain. He was not paying attention. He tripped over a rock and fell. Tom had a mountain lion. Tom was so scared he did not go up the mountain.
the moose	| The family was hiking to the river near their home. They were on a trail that was very steep. Suddenly , a huge moose appeared ! The family ran as fast as they could , but it was too late. The moose was too fast and had caught them !
new book	| I recently purchased a new book. I had bought the book online. I went to the library to look up my book. I found it. I was excited to read it.
playing the drums	| I really wanted to learn to play the drums. I asked my parents if I could play. They said yes but I needed to practice. I practiced for a few hours everyday. Now I'm a great drummer and can play my instrument very well.
ask permission to court	| The Smiths were trying to start their own business. They needed to find someone to do the paperwork. They found a good man to do all the paperwork. He told them to be nice to him when he was done. They ended up hiring him and he was awesome.
the new instrument	| The Smith family had always wanted an instrument. They went to a music show to buy one. They looked very carefully. They ended up buying the biggest one they could find. It was amazing.
lance loses his lucky coin	| Lance is at the fair. He is running around. He is running through some vending machines. He is running through the crowd. Lance is losing his lucky coin. <|endoftext|>>
short reach	| I was very short in my twenties. I was very short because I was fat. I was short because I had a lot of friends. I was short because I was lonely. I was short because I was single.
jumping ropes	| I wanted to learn how to jump rope. I decided to go to a jumpriding class. I practiced everyday. Soon , I was jumping rope well. Now I'm a master of the sport !
too poor for school	| d was very poor. He was enrolled in a public school. He was very shy around everyone. He was bullied at school and on his cell phone. He ended up dropping out and getting his GED.
captured	| Tom was walking around the town with friends. He noticed a group of girls with a few men. One of the men pulled out a gun and took Tom's wallet. Tom was upset but he kept walking. Afterwards , the friends were happy for Tom.
zoom , zoom , zoom	| Gina and her friends would go for a walk. She had never seen a zoomorphan before. It was an adorable creature. Gina couldn't believe how small they were. They were all so small.
the free burgers	| Bill was at a fast food restaurant. He ordered a burger and fries. The fries were extra crispy and the burgers were juicy. Bill ate the fries and the burger. He was happy that he had a free burger.
figurines	| Aya was shopping for dolls. She found a beautiful doll in a store window. She decided to give it a try. It was beautiful. She couldn't wait to buy it.
dehydrated	| Tim was drinking water. He started feeling a little tired. He took a sip and felt a little ill. Tim realized that he had a watery bladder. He was going to have to go to the doctor.
expensive dinner	| I was at a restaurant. The place was out of food. I was hungry and asked for money. I was told not to ask for money. I was very upset.
choked	| I was trying to take a picture with my phone. I was trying my hardest. I could barely focus on it. I held my phone too close to my face. Then I couldn't focus at all.
the stew pot	| The family gathered around the dinner table. They were cooking a stew. They were getting close. They all realized they were out of meat. They had to use stock and vegetables.
hands too sweaty	| I was playing volleyball with my friends. I was throwing the ball and it made a loud noise. I couldn't control the ball and it ended up hitting the ground. I ended up breaking my ankle. I fell to the ground and started to cry.
summer reading list	| I've been thinking of a summer reading list for my kids. I'm looking at books in every genre. I've put in a lot of effort into my list. It's been an interesting process. I think I'll do it again next year.
new cat	| Kelly wanted a cat. She searched her house for a cat. Kelly found a really cute kitten. Kelly took the kitten home. Now Kelly has a new cat.
rain	| We lived in the city. One day , it started to rain. I was scared. I was scared to go to school. My teacher told me to go to school.
one by one	| I was out for a run. I was running around the neighborhood. I noticed a house on fire. My neighbor called the fire department. They came and put out the fire.
shoes smell strange	| I went for a walk in the park. The park had a park smell. There was a park-like smell. I took a long walk in the park. It was a very strange smell.
apartment	| I was moving to New York. I was staying in a small apartment. I was concerned because the rent had gone up. The apartment was being rented out for a lot of money. I decided to move out.
bad essay	| I was doing an essay for a class. I didn't think I was good enough for the class. I wrote a great essay. When the teacher saw it he made fun of me. The teacher gave me detention for a week.
lottery	| Tom was going to be a millionaire. He didn't have enough money to buy a house. He was going to do something fun and get rich. He played the lottery. He won $ 16 million in one night.
small business	| The business owner wanted to start a new business. He wanted to invest in technology. He researched and read books on technology. He bought a small server to develop his business. He made enough money to open his new business.
trains	| I got on a train to work. I was very nervous about getting off. The train left on time. I was able to get on. However , I was still very nervous.
mechanic	| Tim was a mechanic for a large company. He was very good at working on cars. He worked as a mechanic at a small place. There he noticed people working overtime. Tim decided to quit his job and start working as a mechanic.
ben gets injured	| Ben was going for a run. He ran down the street. Ben tripped and fell. He was hurt badly. Ben had to be rushed to the hospital.
uber	| I was the new kid in school. I had a crush on a classmate. I tried to talk to her but she was too shy. Finally , I asked her to lunch. She was so excited and said yes !
the long movie	| Jake wanted to see The Last Kingdom. He found a ticket on the street and made his way to the theater. The movie began and he waited patiently. The movie was wonderful. Jake and his friends had a great time.
teen girl insecurity	| Tina was the first girl in her family to go to college. She didn't think she was going to do well. Tina started feeling too anxious. She decided to stop attending college. She decided to stay home and get a job instead.
party	| Tom was hosting a party. His guests all wanted to join. He told them they could if they could show they wanted it. They couldn't show they wanted it , so they wouldn't be invited. Tom was very upset.
timmy	| Timmy is a little boy who loves to play baseball. He always throws the ball as far as he can. He likes to do many tricks to entertain his dad. His dad always tells him to be more careful throwing the ball. Timmy will never be able to throw as far as he can.
lynn has an affair	| Lynn is a very good cook. She works hard at her job to help her husband. One day she discovers that his girlfriend is cheating. Lynn is crushed. She decides to leave her job.
volunteer fireman	| Dan was a volunteer firefighter. He was assigned to a neighborhood fire. He was tasked with fighting a small fire. When the fire was over , Dan was the only firefighter. Dan was proud of his hard work.
losing that power	| I wanted to get my power shut off. I went to the power company and asked them to shut it off. They told me that it was illegal. I started a petition on change.org. It got the attention of the power company and they shut it off.
ruined vacation	| Fred was planning a trip to Hawaii. Fred was looking forward to his trip. Fred thought he would be able to get to Hawaii. Fred was disappointed when he couldn't get to Hawaii. Fred regretted his vacation plans.
not a good impression	| The other day I was at a restaurant. I was sitting at the table and looking for a table. I walked over to the table and saw the owner. He was very nice to me. However he told me to be quiet.
prom	| He didn't even have to go to prom. He had a date with Sally. He could just pick her up at home. He was so happy. He had just had his date.
egg	| Anna was allergic to eggs. She was at the grocery store. She couldn't decide which egg to buy. Anna thought about which egg was best. She had to choose between the two !
quentin plays football	| Quentin loves to play football. He has practiced all summer. He plays with his friends at the park each day. Quentin is very competitive. He is very good at playing football.
chips and salsa	| I was eating chips and salsa. It was really delicious ! I decided to try some salsa next. I tried a few and loved them so much ! I added some cilantro and cheese and enjoyed the salsa !
broken windshield	| Tom was driving. It started to rain. Tom ran to the car. He couldn't find his car. Tom had to call for help.
library books	| Anna went to the library. She looked through the books. Then she checked out a few. She was amazed at how many books were there. Anna was happy with her selection.
cantonese	| Ben wanted to learn Cantonese. It was hard to learn a new language , he thought. Then his friend showed him an online course. It was an excellent online course. Ben was glad he could learn Cantonese.
moving day	| Jim was moving to a new state. He needed a few things. He tried to do it the old way. After a few weeks he forgot all about his stuff. He was too broke to do it.
the new baby rush	| The Smith family had been together for two years. They were expecting their first child. They were so excited ! They rushed to the hospital for a check up. The doctor was pleased with the results.
horse	| The man rode his horse. He got tired of it. He put it down. He rode his horse again. He got tired of it. <|endoftext|>>
a new boat	| Tim wanted to buy a boat. He saved up money for months. He finally bought a boat. He took it to the lake. He took a picture and showed it to all his friends.
sick	| Lisa went to the doctor for a checkup. She was told she had the flu and needed to rest. The doctor gave her some medicine to help her. The medicine didn't help her any either. Lisa was so sick that she missed a flight to return home.
the last cigarette	| Bob was smoking a cigarette. Bob's girlfriend asked him to stop smoking. Bob didn't listen and continued to smoke. Bob's girlfriend gave up and told him to stop. Bob stopped smoking and had a great time.
charles washes his hands	| Charles decides that he needs to be more careful in his hands. He decides to wash his hands more often. He works hard to wash his hands after every meal. Finally Charles is happy with his hands. He is glad that he doesn't have to worry about washing them more often.
joining band	| Tom was in a band. He tried to impress the manager at work. He did a really good job. The manager decided to hire Tom. Tom was happy.
the wrong order	| Tom was ordering food. He forgot to put in the wrong order. Tom was really upset. He called his wife. He was more understanding after that.
no feeding	| Tim was hungry. He had no food in the house. He asked his mom for a few snacks. They gave him a few. He was satisfied. <|endoftext|>>
hockey time	| Mike's son was playing outside. He decided to go in the back yard after school. His son was very excited. Mike's son played hockey all day. He and his son had a lot of fun.
spoilers	| The movie started to go on. The actor was being too dramatic. The audience started to boo. The actor did not notice. He made mistakes. <|endoftext|>>
george	| George was a great basketball player. He was voted Most Valuable player of the year. George was also voted best player in school. George earned his college degree. George is now the head coach of his high school.
tumbling down	| The girl fell down. The ladder did not move. The girl kept falling down. They called the fire department. The fire department arrived.
the railing	| I was climbing the stairs when I fell. I landed on my back and broke my ankle. I was in a cast for a week. I was able to walk again. I was able to keep climbing up the stairs.
puzzle pieces	| I had a small stuffed animal in my room. I had a black cat. My cat got so lonely that he would sit by my bed. I would let him sleep there. He would often get out to play after I put him back in.
ramen	| I had never tried ramen. I decided to try it today. I started off with a bowl of ramen. It tasted very good. I was glad I tried it.
horror movie night	| Jane was excited for Halloween. She was going to watch a horror movie ! She went to the theater. She got her tickets. She went and watched it.
bugs	| Tim was playing in the pond with his friends. They noticed a large bug flying around. Tim could tell it was coming from the pond. Tim ran to his friends to avoid it. Tim never saw the bug again.
lady	| Kate was a very confident girl. She was always seen as the smartest girl in school. One day , she was playing with her sister in the hall. She was very playful with her sister. She was called a girl who was dumb and told to be quiet.
friend	| The man met a girl. He was in love. He proposed. The girl said yes. The man was very happy.
the glasses	| I had a really hard time seeing the light. I bought new glasses. The glasses were very expensive. When I got them they were very expensive. I ended up getting rid of them.
too early	| Tom was at work. He needed to get some coffee. He got a few cups of coffee. He drank them before work. He felt really sick.
fruit salad	| The kids were going to eat a salad. They got the ingredients for it. When they got it they took a bite. The taste was not sweet. They decided to only eat fruit.
far too cold	| Lucy had a large snowstorm coming up. It was so cold that she had to pull her car out of the driveway. She ran to the garage and grabbed her keys. She drove off in her car to the garage. She was so cold that she almost drove into the wall with her car.
ringworms	| I was playing with my dog. I accidentally put a worm in his mouth. I had to clean him up. I took a piece of chewing gum. I swallowed it and was fine.
the long stairs	| Tom was moving into his apartment. He noticed the stairs were getting long. He tried to climb them to get to his bedroom. He was too tired to go and keep going. He decided to take the stairs to his bedroom.
bat	| The man saw a bat. He called the police. The bat was a threat. The bat flew off. The man felt threatened. <|endoftext|>>
hiking trouble	| A group of friends decided to go hiking. They set out in a different direction. They got lost for a few hours. They found a nice campsite and got some food. They made it to the end of their hike without a problem.
yo yo	| Kim had a crush on Tom. She was the only girl who he wanted to talk to. She tried to talk to him at lunch. He looked at her strangely. She was so embarrassed.
bedtime	| I woke up on Monday. I decided to get dressed. I brushed my teeth. I put on my clothes. I went to bed.
martha 's seashells	| Martha wanted to make some seashells. Martha bought some shells from the beach. She then gathered the shells into a basket. Martha put a basket of shells in the refrigerator. Martha was able to make her seashells at home.
beth 's homework	| Beth was tired of doing her best work. She decided to save some money and quit school. Beth started an online business. She made a lot of money. Beth was able to spend it where she wanted.
getting glasses	| I decided to get glasses. They were expensive. I didn't think I could afford them. I saved money. I went to the eye doctor to get them fixed.
tyler survives	| Tyler is a little kid who loves to play video games. His parents take him to the doctor. Tyler's doctor tells him he is very sick. His parents take him to the hospital. Tyler has a scary and successful surgery.
ben attends a wrestling show	| Ben is attending his first wrestling show. He is excited to see how the crowd react. He is nervous to wrestle against the crowd. Ben practices his moves and matches against the crowd. Ben has a fun and positive experience at his first wrestling show.
weight	| Tom's weight was too high. He got in a lot of jogging. He was going to run a marathon. He started to eat less and exercise more. He was able to run a marathon.
surprise engagement	| Tom was at work. He forgot to get engaged. His wife got angry. She called him up and told him she was breaking up with him. Tom was so upset.
dancing contest	| It was the school dance and Jane was nervous. She was not sure what kind of dance to choose. She could not find a dancing partner she liked. She finally decided to go with a different artist but was nervous. She ended up dancing with a girl who was really good at it.
new phone	| My old phone was broken. I couldn't figure out what to do. I finally decided to get a new one. I drove around for hours trying to find one. Finally I found one that I liked.
the curtains	| The man put new curtains. They were dark and very shiny. They were hard to see. The dog ran into them. The curtains were not very good.
too much trash	| I decided to take my dog for a walk. I put up signs around the neighborhood asking people to stop throwing their trash. The people began to move their trash with aplomb. Then I noticed the garbage truck. It had been sitting for hours.
first class	| My wife is a first class passenger. She took her daughter first class from Boston to Washington DC. She was very excited. Their flight was delayed due to weather. They enjoyed it and went to dinner together.
lost lighter	| Kelly lost her lighter at the park. She looked everywhere for it. She even looked under the couch. Finally she found it under her pillow. Finally she was able to find it.
jordan and the clown	| Jordan was going to the circus. It was his birthday and he was looking forward to it. Jordan was going to be a clown. When he got there he was nervous. The clown took his face and made him laugh.
early bird	| It was a beautiful spring day. Kim tried her best to walk in the park. Yet she was late. She was so late she couldn't go to the park. Instead she walked home instead.
the genius was the intern	| The manager asked the head of the department if he could hire a genius. The head of the department said yes. The manager set up a meeting with the genius. The genius was very nervous. He didn't say anything and just stood there.
from a different country	| My family and I went to visit my grandparents. They were in Florida. We went to the beach. We took a walk in the ocean. We had a great time. <|endoftext|>>
kathy 's hard time	| Kathy was always a very hard worker and worked very hard. She was told no as an adult she was too old for this. Kathy was told she was too young to have children. Kathy's husband is now a father , she has two little girls. Kathy is very happy because her kids love playing with their father.
two perfect pets	| I am a hoarder. I have a lot of old books and old clothing. I have a huge collection of photos of cats and dogs. I collect all kinds of old art. I have a lot of old photos of cats and dogs. <|endoftext|>>
the clock	| The clock on the wall was ticking. The clock was ticking so loud that Tom could hear it. He heard it for months. Eventually , it went off and Tom stopped. The clock was silent for a while.
no baby clothes	| I was taking the bus home. My wife saw me looking at her baby clothes. She asked if I could borrow them. I told her no. She was embarrassed.
not realizing .	| Tom was at a party. He was drinking. Suddenly he felt sick. He went to the hospital. They found out it was alcohol poisoning. <|endoftext|>>
christmas on a budget	| I decided to buy a ring for my girlfriend. It fell apart as I was opening it. I decided to buy a gift card instead. I was able to buy one at the counter for $ 10. My girlfriend was very happy with her new gift card.
console game	| I was playing a video game online. I entered into a tournament. The bracket was posted online. I advanced to the grand finals. I won the tournament.
erik	| rik wanted to get in shape. He signed up for a gym membership. He would eat a lot of protein shakes. He would also drink water. It was hard but he started feeling much better.
bonding time	| Tom was feeling lonely. He wondered if he ever had a chance to bond with someone. Tom decided to go to a bar with some friends. In the bar , they had a lot of fun. Tom felt more comfortable when he was alone.
simon calls in sick	| imon had to work tomorrow. He was going to be late for work. He called his boss to cancel his shift. His boss said he was fired. Simon was upset but was also happy he was working.
stick	| My father told me to get my stick in my mouth. I didn't want to go to school. I decided to bite my tongue instead. I spit it out. I spit it out to my father. <|endoftext|>>
frozen accident	| Tom and his friends were skating at a skating rink. Tom was skating fast and kept falling off the board. Tom fell off the board and went into the crowd. Someone else fell off the board and hit him. Tom got knocked out in the crowd.
too much stress	| I went to a concert. I was very nervous. I looked at my phone. There was too much information. I ended up getting sick. <|endoftext|>>
wrong meal	| I ordered a pizza. It came very late. I was very upset. I decided to not order from the restaurant again. Alas , it was a bad idea.
a birthday gift	| Bob was excited for his daughter's birthday. He'd bought her a gift for her birthday. He opened it to see a note on it. It had just been given to him by her mom. He took the gift back and opened it up to see what it was.
fireworks	| It was a big fire. The fire department evacuated the entire town. The fire began to spread quickly. The whole town turned on their air conditioners. The fire was out in an hour.
rainy picnic	| I took my kids to the park today. We went to the picnic area. My daughter and son were playing outside. A thunderstorm hit and they had to go back inside. The rain was so bad that it was raining so hard.
a happy morning	| Charles woke up early today. He got dressed up , got ready to go to work. He went to the door to greet his boss. He opened the door and saw his boss looking at him. Charles was happy to see him.
apartment	| Tina needed an apartment. She applied everywhere for a place. Finally she got a job. She was so happy. She was finally able to rent an apartment.
therapy	| Jim was afraid of therapy. He was so afraid he couldn't sleep in his bed all night. He had to go to a therapist to fix his anxiety. He started taking pills. Now he's much less afraid of therapy.
messing up the joke	| Fred was having a terrible day. He was having a terrible day at work. When he got home he was going to do something he really hated. It was going to be his first day of school. He decided to put his pants right up.
addicted smoker	| Joe was addicted to smoking cigarettes. He was addicted for over a year. He finally got the courage to quit smoking. Soon he was much healthier. Now he is a proud father of a healthy child.
filling	| I filled the tub with water. It didn't work. I had to call a plumber. He told me it couldn't be fixed. I had to call a contractor instead.
floating down the river	| We had a small garden in our yard. One day , a branch came loose from a tree. It was floating down the river. I tried to get it to come out of my fence. It didn't budge from the bottom.
bad pictures	| I was excited for the new camera I bought. I took a lot of pictures of my new home. When I took them I started to worry about looking terrible. Later that night I found the photos on my phone. They were still great but I had to delete them.
pip 's treehouse	| Pip wanted to build her very own treehouse. She went to the hardware store and bought a large tree. After digging the tree up , she used a ladder to get it up. She tied the tree up and then she set up her tree. Pip was so excited to see her treehouse.
game night	| We decided to go to a movie last night. We went to the theater. We found a show with some great seats. We all sat together and enjoyed the show. It was a great night.
pop 's boat	| Pop's boat is being towed to the dock. He's been working to plan the trip. He's been putting in his time and working hard. Once he gets the boat he'll start the long trip. He'll make his way to the dock in just a couple of hours.
paint bar	| Tim loved to paint. He always painted very colorful things. One day he painted a beautiful blue wall. His friends were amazed. They asked him to paint a wall with their colors.
george 's kitchen	| George loved to cook. He decided to open a restaurant. He needed a good location. He went to the city. He found a great spot and opened his restaurant.
twins	| My sister-in-law and I have twins. My sister-in-law has a history of depression. We are trying to figure out a treatment plan. We want to work with her and her husband. We have started trying to find out who to help with her depression.
casual friday	| I took a vacation from work. I went to a friend's house for dinner. He was making some pizza. The pizza was very good. I thought it tasted great.
car race	| I was driving on the freeway. My car got stuck in a tree. I was trying to get to another lane. I tried to break through the trees. The car went straight for me.
signed	| I was signing my college essay. I was shaking. I thought I was going to cry. Then I decided to relax. I smiled and signed my essay.
pet snake	| The family was traveling to New Mexico. They got lost and couldn't find their vehicle. One of the children saw a snake in the bushes. The snake was a big , big snake. The family decided to take the snake home.
stolen bike	| Tim was riding his bike. He was going fast. He started to ride faster. Tim forgot to lock his bike. He got hit by another car.
funny walking dog	| I used to walk my dog on Sunday. She was a bully and I was always the last one to be fed. I decided to walk her to her next door neighbors. I saw her on the porch and tried to feed her. As she was eating the dog snarled at me and kicked me.
bread	| Kate was hungry. She decided to make a bread. She found some bread ingredients. She mixed them together. The bread turned out great.
the bully	| Jim was a bully at school. He would always make fun of everyone. One day his mom confronted him about it. He admitted that he had been acting out. His mom grounded him for a week.
do n't move a pecan tree	| Dan was planning on planting a pecan tree. He was going to put it in his front yard. He did not know where to put the tree. He dug a hole and put the tree in the hole. He watered the tree every day.
neighborhood cat	| My neighbor lived in a very boring house. One day my dog ran out of food. I found him under a bush and took him inside. He ate all of my food and I was very sad. I gave him some of my leftover food and he returned the next day.
tornado	| Tom took a trip to Florida. When he returned he was very excited. The thunderstorm had hit. Tom was scared. Tom decided to take a nap.
the last dance	| I decided to attend my friend's birthday party. I went to the party with a few friends. The party was held in the park. I was surprised to find out that a few of my friends had never danced. I was also surprised to find out that they didn't go to the party.
socks	| I found a pair of socks in my closet. I thought they were a waste of money. Then I found they were perfect for my feet. I bought them , and wore them everywhere. They made me feel good about my feet.
marcy	| Marcy was a very smart girl. She was always trying to do well in school. One day she fell and broke her arm. She was afraid people would judge her. She was glad to be able to get better in school.
trouble	| The teacher stood in front of the class. She asked everyone to take a seat. As soon as everyone sat down , the teacher announced a recess. She started to take notes on the board. Her teacher ended the recess.
skipping rope	| I went to the park with friends. I was getting very tired. We decided to skip rope. We climbed the rope. We never got tired of it. <|endoftext|>>
member of the month	| Jill wanted to be a member of the month club. She signed up for the newsletter. She checked the membership boxes every day. After a month , she was invited to a dinner party with the club. Jill was happy to be a member of the month club.
mumbler	| Gina and her friends were at the museum. She was playing the trumpet but she was a mumbler. She played the trumpet without any notes. Her friends laughed at her. She had no idea what she was doing.
the ride to work	| Kelly was nervous. She was riding her bike to work. She was going to miss her bus. She looked at her phone , but all she saw was a text. She realized she was going to have to walk.
a table	| James was eating at a restaurant. He was ordering a chicken dish. He accidentally dropped his chicken on the ground. The table he was on tipped him twenty dollars. James was happy he bought a new table for the restaurant.
sleeping bag toss	| Tom was trying to sleep. He was tossing his sleeping bag around. It started to fall apart. Tom was tired of tossing it. He tossed it into the trash.
